[  3.501] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=Built-in Retina Display
[  3.601] step moves=0 diag=0 level=false shimmer=false released=0 sec=39 toast=true -> repaint=true
[  3.601] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=Built-in Retina Display
[  3.700] step moves=0 diag=0 level=false shimmer=false released=0 sec=39 toast=true -> repaint=true
[  3.700] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=Built-in Retina Display
[  3.801] step moves=0 diag=0 level=false shimmer=false released=0 sec=39 toast=true -> repaint=true
[  3.801] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=Built-in Retina Display
[  3.901] step moves=0 diag=0 level=false shimmer=false released=0 sec=38 toast=true -> repaint=true
[  3.901] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=Built-in Retina Display
[  4.000] step moves=0 diag=0 level=false shimmer=true released=0 sec=38 toast=true -> repaint=true
[  4.000] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=Built-in Retina Display
[  4.100] step moves=0 diag=0 level=false shimmer=false released=0 sec=38 toast=true -> repaint=true
[  4.101] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=Built-in Retina Display
[  4.201] step moves=0 diag=0 level=false shimmer=false released=0 sec=38 toast=false -> repaint=false
[  4.301] step moves=0 diag=0 level=false shimmer=false released=0 sec=38 toast=false -> repaint=false
[  4.401] step moves=5 diag=1 level=false shimmer=false released=1 sec=38 toast=false -> repaint=true
[  4.401] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=Built-in Retina Display
[  4.501] step moves=0 diag=0 level=false shimmer=false released=0 sec=38 toast=false -> repaint=false
[  4.601] step moves=0 diag=0 level=false shimmer=false released=0 sec=38 toast=false -> repaint=false
[  4.701] step moves=0 diag=0 level=false shimmer=false released=0 sec=38 toast=false -> repaint=false
[  4.801] step moves=0 diag=0 level=false shimmer=false released=0 sec=38 toast=false -> repaint=false
[  4.901] step moves=0 diag=0 level=false shimmer=false released=0 sec=37 toast=false -> repaint=true
[  4.901] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=Built-in Retina Display
[  5.001] step moves=0 diag=0 level=false shimmer=true released=0 sec=37 toast=false -> repaint=true
[  5.001] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=Built-in Retina Display
[  5.100] step moves=0 diag=0 level=false shimmer=false released=0 sec=37 toast=false -> repaint=false
